name,price,link
AMD Ryzen 5 5500 6-Core 3.6GHz Socket AM4 65W CPU Desktop Processor,$62.00,https://www.ebay.com/itm/304956837744?epid=16054328164&hash=item4700d80f70:g:7egAAOSw4-BjUjeA&amdata=enc%3AAQAIAAAAsBL8PEoY0qW3ehxnBAMsI9GD3I2NxzWKHak%2FMbisF2B64VxRtBAe8GFv6pCD%2Fb%2FYlHmqV%2Fh5AOu4b1Jb%2Fh2lRCK6wGN1ggNQmsaSgw%2F8jw%2B7Hq20gogoCyA1EjQVf8l%2Bww3XdPvqHFoYbsbTD0dUTN5Sar94rs%2BIDCu2hzHje23oDdpSYAw1DNwa5c%2BcYn%2Bt5IdXaQuGK5seSQFEhNot4WiZr%2FN1oZ44NCgYc0v3HIIA%7Ctkp%3ABk9SR6SLsraOYg
Intel Xeon E5-2667 v4 SR2P5 3.20GHz 25MB 8-Core LGA2011-3 CPU Processor,$34.99,https://www.ebay.com/itm/184521005833?epid=12041367025&hash=item2af64f1b09:g:zmoAAOSwfeFh3uWS&amdata=enc%3AAQAIAAAA0OlYw3XYe%2BrmyFMMb8QVfvPCdM2dOMPA389O3DrshRFj4maAGoM4N60JPN8URFJjI1EhFRHVC8QRTMWeGzyUXwizzgH50ijoCN9Vb%2FnbmTD6GGmznw0vtlhv8zINr4bVNlLIDcLJexGdi49JB%2Fjx4PeV3S5VG69EP57vIv4WEv%2FmFAJEnP4FZ7irh3C7qIW7lc2SueH3HRoVL%2F%2Fqg837GDwFAT4nABiMS5deVC%2FCmb8TbK5aBUJSRwobQNpwufaasSTYYfJTBP7uS%2BMqe7f3tis%3D%7Ctkp%3ABk9SR6SLsraOYg
AMD Ryzen 5 5600X 3.7 GHz 6 Cores (100-000000065) Processor,$135.00,https://www.ebay.com/itm/134586052922?epid=10047843200&hash=item1f55f4313a:g:x3oAAOSwfQ1kb75L&amdata=enc%3AAQAIAAAAsA%2BkDAeL9YYg9xI2AeU6EzgYTddgCOCYmQd7rdkhgQUWqi5eYyAEw%2BUjbdSMlr0NWPuav0JVgaEmc0a4458eooMd3ffIhq4%2BLap1RkjioeODleddLUe0l%2F4Zbg%2F26ZCBDZ191qf5RK58JRIJRMJ8t0%2FYoDLLe04fTqf9j%2BWLpPgCiQMoo2PdHmT7rtj8vYVwgliV0YrLP99mljZ%2FrwlrNMZlhjQ9wASNp3PaLEQKCl3x%7Ctkp%3ABk9SR6SLsraOYg
AMD Ryzen 7 3800X Desktop Processor 8-core 16-threads w/ Wraith Prism Cooler,$96.00,https://www.ebay.com/itm/304956838453?epid=9033516057&hash=item4700d81235:g:EM0AAOSwfxthe2fK&amdata=enc%3AAQAIAAAA0Dr0DUjPUrogS10Zn3a33DCMtC%2BuROK2shnLHHA8r7OsI4axvCrf8eXbUUwMuhqVxIeJAoOCH5rt%2Flc%2Fj0Duv5R99OVKMEOKSKlJ8EURbFr4pVVaAgYOMH6%2FpuAAjCxFvBsNbAlcjantMn9KMLrKZaqNgt6RkHZ7wAvvuaPwclkd5bCU5UXnRpPHg5fAQYq%2FTVFdUK5FyfUIAWmKhNMhWrnGqbLTThXjuFT04ITPfcqmPzHnhYiT9FCmgECT59qtYe2rshkeQU70aZ7QtZ9jk%2FI%3D%7Ctkp%3ABk9SR6SLsraOYg
Intel Core i7-4790K 4.00 GHz Quad-Core LGA1150 SR219 CPU Processor,$91.00,https://www.ebay.com/itm/352509256881?epid=197284894&hash=item52133064b1:g:DMAAAOSwDnhdjEzF&amdata=enc%3AAQAIAAAA0OJeVOdf2tvVkSzU9X%2BAB2JrBTcURAoQMiwvGibYsrBsOKErK6xjM0pwr8G4OhDUJlsjNbPtUkY47gNg4eW3EBiDPmplilMv6uEsnMPltVMB%2FJFaFVJJTLjJLmcU9f3KQS9bAHHt1KFkDj57axCjj0n0YgdHyti4AZlbzhe31PbLjLIkAFgmcSW7F7EYFYMJaBICKIVOMdGiWsRMaelq0QugaLBFgQbKPr39JGiBboAblVPm3fphZYKxQkJcjC%2FQZQBb3mfYJiY7oPfEpqToyhQ%3D%7Ctkp%3ABk9SR6SLsraOYg
INTEL XEON E5-2697A V4 SR2K1 2.60GHZ 16-CORE,$65.00,https://www.ebay.com/itm/385548409149?epid=2330930884&hash=item59c479d93d:g:MyoAAOSwsIpkOftw&amdata=enc%3AAQAIAAAA0NGLRv7b8EqbCQEiw4nVCXiAqM1hN6uFDZk6odqAZCoGDGET4%2BtFgzUmRLSp%2B5WhWqy2uMi5K%2FDN4KqngRP5jsiyKSZTKqzwnZYksGKYJ0phJDNfVR5N7%2BknDXd7wHJk5tNaJL1Q%2FdhP34xSoEt1q4n%2F8GMaqknLB0E%2FhgqXyrAHH7Y305dmR8qyxhGUqxfAm9at62BLfmvjiA5NpxZ%2BKS7B4uJVPEEDxp7qZ2H6syA4KePD84cIRe8mMAdAQnf%2BEzzTM46n%2BRqdueMtFUL52f4%3D%7Ctkp%3ABk9SR6SLsraOYg
Intel Xeon Gold 6148 2.4Ghz 20MB 20-Core 150W LGA3647 SR3B6 CD8067303406200,$110.00,https://www.ebay.com/itm/134587302821?epid=15010860498&hash=item1f560743a5:g:GQQAAOSwbY9kcQU9&amdata=enc%3AAQAIAAAAsISgTClM7TegetB6WR8dZMJPM7XGaoTYFppk4vYb3ItP%2BECyt46V%2FyKu52ZUgagteXtznnHKsozHOk5ZIZnojKDSngP5fpnCeE7pWELwmUGIQ21t4Ku7TK%2BYHpZ80a%2B195FKtz6jQwBNpkrZXUN4agXXaTnp%2BPohU%2B%2Bt%2Fr3%2FqWNpK6aMuX%2BQDI%2FBi1ytDFC9yoQGlIhogV%2F48R2VcC9UE2FGaqqiASNp%2F%2FctbQfpvdyq%7Ctkp%3ABk9SR6SLsraOYg
intel laptop Core 2 Duo T9300 CPU 6M Cache 2.5GHz 800 Dual-Core  SLAQG SLAYY,$13.90,https://www.ebay.com/itm/314466158611?epid=1483575749&hash=item4937a4c813:g:ZEAAAOSw8BRc47nS&amdata=enc%3AAQAIAAAA0BgKUgNNIKZYv258U9KqYfvw9UlWrBCID32xObRkzpunShYX0dWK%2FxxI1Y69fqw89jL7HCJMiP1hsA1iJtyHasvXBaUketRJu7gtjQ1F1ePScyRu1%2FF5VsB7%2F979zdok5wOS4Yy5f2MAAnWHKmTl3LNnL4eAL4jDA8FmWjPDA1YsuWea3A092XpGpZfoS22kredcV3NtD%2FJ0pqE22j1jkeay5rva2N5Z%2FnsYpELr3zpwpaESMhwdNqWulhOoc4E5hKzR9Wn4ll%2FuxE8B%2BlQwijI%3D%7Ctkp%3ABk9SR6SLsraOYg
Intel Xeon E5-2696 V3 SR1XK 2.30GHz 18 Core 45MB LGA2011-3 CPU Processor,$55.99,https://www.ebay.com/itm/175529373500?epid=4004672630&hash=item28de5daf3c:g:JIEAAOSwC7RjlrIj&amdata=enc%3AAQAIAAAA0EWCtbq0ZFMc%2Fo3tBuyoDaz7yDP%2FtMPM5Nw7m1ORslUgcYEhxRiSVcbLc61Modc69i8Zu4hy5p7qGrlqKjDLgyjX0jCDGunsQbMNG7o3f5LEdC2%2BYCzMqauCn4B4DUo0tbusl3VGtj3P6gif0heqo8tGI87j7gxHi%2BtHuWG5D9x8%2Fa2XmzwK2pJ8pcCwP%2BY5japqNBA6XpVwoGcfEMCdSytAsFoSdK9OZ%2FQupA9I4ZbDCnkTsBkF12jDL6W7lONPNtStWLpUKHS3LihMdtFc%2FoI%3D%7Ctkp%3ABFBMpIuyto5i
Intel Core i7-990X Extreme Edition 3.46GHz LGA 1366 CPU Processor,$93.00,https://www.ebay.com/itm/132913265520?hash=item1ef23f7b70:g:IhgAAOSwaSVcNby4&amdata=enc%3AAQAIAAAA0CxaTQqJYrCEAJGRDK0JSykSdUyn8I%2B%2FOL%2FGw4JqJ%2FsWxwkyVzVEOJRz%2FBmsOF%2BNLtm4JD3Ae7gdkfCdwSAsWw32tYFfCYxsTRch6MBDDWufxEfIuGRpdK6b%2BGkI15cOhnOUGUQOw5v0XJQxj7oTdWczymbR6vnD0Ec0TR642oi2LGuq5PtMbOa%2F1FXWPrer0z0NK7g3UTuIrMicOoyo3pBN06qs9PuVebR3WqVUKdumIVdTDhOvq91Q8fwlEv3%2Feh9c%2F8mkV5ADo2c8s5yH2M0%3D%7Ctkp%3ABFBMpIuyto5i
Intel Xeon e5 2686 v4   sr2k8 18 Core 2.3ghz 45mb lga2011-3 145w CPUprocessor,$60.00,https://www.ebay.com/itm/134035123362?hash=item1f351daca2:g:w0sAAOSwXT9iGKJ0&amdata=enc%3AAQAIAAAA0HEch8W38GHf9B6FASN%2Fwsu3Ba%2FAYsbiG2padVRcfnm7%2FboFu0m%2FLvDbPtWTgGB8XPcC3Uj9iPS3LkaDK8A%2F97S6QVdzR6%2FwLnmZ9%2Faudi8rDyXyEVbc7m26wk1clDCGPO4G7wM8B4PjNSHOVdJzJARL5wVqhLSZlEhZBPOEscrqrONAOJ4Cqvu2nhG7wd4S%2Bo82GgQPzuGFyc71YltgYFS7vrbbYbiC%2BjbuTK6HS3jjpm%2FLVE6mUPEJzivspabtbBkFvKzj6P5cTA9HK9OZD7U%3D%7Ctkp%3ABFBMpouyto5i
AMD Ryzen Threadripper 2920x 12-core 24-thread 3.50 GHz processor 180w,$215.00,https://www.ebay.com/itm/174886452871?hash=item28b80b7e87:g:2rkAAOSwlpNhFG6C&amdata=enc%3AAQAIAAAA0GfhyS9f%2BQqh69SSlPhzhlBjmhGtmh14vey44Gjf96kIdSETWi4oBaBiloaw2IlpDsbfAg6oSkxUnIX8j3tm18iaIbRMvJdrfnuKiBAUsk3aNlSoBccbCy3ll1enSKe0vt7nEfJVCoH5L9R5greT25liD07tI2Vkc%2FrUrKzUA%2BA75G6EIl2gSD2O6yv33oFYQRNw1GiRI%2F4CkJMuFy%2Bram98ntSvf%2FU%2B3Cg3sUT0qCYA%2BZT1XfYKjHbw%2FFhw5NVidr048tR54CmVf%2Bnqyk0riR8%3D%7Ctkp%3ABFBMpouyto5i
Intel Core i5-4460 3.2 GHz Quad-Core s.1150 4th Gen UNBOXED CPU Processor ONLY	,$12.40,https://www.ebay.com/itm/234212906874?hash=item36882d577a:g:k4YAAOSw5XFhLQGo&amdata=enc%3AAQAIAAAAwPOLH%2B29gzU3xLdgqk8e7lZ5309IRMWYVwYPKdNrQ7E%2BSWMsX6wtGnzP3vLQbeJKQd%2FvdSTXXi2ot4VMvukv05zzQ%2B%2B%2B2WwjIwkkh0Bs%2FdvcaXs56aJlcTuA97cT%2BSrieTkJXfexx0q%2B%2Fa%2FunkZVwKqVx5wyMVDvApOS6Pzung2q6ZNv%2Fs1ceWzRS105iY5i06Yh4VwdfDxLoPW4aV3niPTkZTYIFvATWQT22e9CienzEdCH89xFxpd%2BjWQin%2FgqAQ%3D%3D%7Ctkp%3ABk9SR6aLsraOYg
